Date,Open,High,Low,Close,Volume
17-Dec-10,4.05,4.18,3.90,3.97,251415
16-Dec-10,3.99,4.25,3.85,4.07,268912
15-Dec-10,4.02,4.08,3.86,3.92,238331
14-Dec-10,4.36,4.37,3.88,4.02,446324
13-Dec-10,4.82,4.82,4.36,4.39,371917
10-Dec-10,4.53,4.86,4.41,4.49,839541
9-Dec-10,4.23,4.64,4.05,4.42,610335
8-Dec-10,4.20,4.31,4.00,4.22,486140
7-Dec-10,4.43,4.45,3.80,3.99,953821
6-Dec-10,4.44,4.69,4.27,4.39,360513
3-Dec-10,4.42,4.74,4.17,4.49,802046
2-Dec-10,4.08,4.70,3.95,4.65,2950987
1-Dec-10,3.15,3.88,3.15,3.88,1345619
30-Nov-10,3.00,3.12,3.00,3.06,72571
29-Nov-10,3.05,3.13,3.02,3.03,106748
26-Nov-10,3.10,3.11,3.00,3.04,45320
24-Nov-10,3.13,3.13,3.13,3.13,0
23-Nov-10,3.03,3.10,2.97,3.00,102154
22-Nov-10,3.10,3.22,3.06,3.13,137200
19-Nov-10,3.17,3.21,3.15,3.18,47537
18-Nov-10,3.10,3.33,3.10,3.23,281735
17-Nov-10,3.04,3.18,2.95,3.10,212589
16-Nov-10,3.12,3.14,2.90,3.00,459661
15-Nov-10,3.18,3.35,3.17,3.19,90759
12-Nov-10,3.32,3.38,3.12,3.21,183200
11-Nov-10,3.27,3.57,3.20,3.28,443822
10-Nov-10,3.49,3.49,3.30,3.34,381096
9-Nov-10,3.70,3.70,3.48,3.51,181033
8-Nov-10,3.40,3.74,3.32,3.68,389017
5-Nov-10,3.77,3.80,3.45,3.51,366067
4-Nov-10,3.80,3.80,3.65,3.75,170398
3-Nov-10,3.80,3.80,3.54,3.70,211359
2-Nov-10,3.40,3.84,3.40,3.74,471241
1-Nov-10,3.80,3.85,3.36,3.44,496778
29-Oct-10,4.10,4.11,3.75,3.82,372084
28-Oct-10,4.44,4.44,4.01,4.11,345683
27-Oct-10,4.38,4.43,4.18,4.23,241029
26-Oct-10,4.35,4.53,4.21,4.41,388689
25-Oct-10,4.19,4.51,4.12,4.35,595121
22-Oct-10,4.27,4.48,4.03,4.05,362434
21-Oct-10,4.33,4.65,4.10,4.12,540537
20-Oct-10,4.42,4.53,4.22,4.33,349880
19-Oct-10,4.72,4.75,4.19,4.27,682784
18-Oct-10,4.85,5.09,4.76,4.78,331463
15-Oct-10,5.00,5.07,4.72,4.89,460467
14-Oct-10,4.75,5.27,4.72,4.98,1137010
13-Oct-10,5.00,5.00,4.72,4.79,326230
12-Oct-10,4.87,4.96,4.72,4.79,331311
11-Oct-10,4.85,5.08,4.85,5.00,457113
8-Oct-10,5.01,5.01,4.66,4.84,237973
7-Oct-10,4.77,5.12,4.51,4.91,710032
6-Oct-10,5.03,5.20,4.68,4.83,585236
5-Oct-10,4.78,5.30,4.74,5.03,1191049
4-Oct-10,4.97,5.09,4.74,4.74,930086
1-Oct-10,5.55,5.64,4.94,5.04,1017052
30-Sep-10,5.80,5.89,5.31,5.43,758116
29-Sep-10,5.84,6.20,5.57,5.72,1062262
28-Sep-10,5.39,6.25,5.22,5.94,2365065
27-Sep-10,5.55,5.77,5.11,5.30,1224493
24-Sep-10,5.80,6.10,5.47,5.64,3038841
23-Sep-10,4.72,5.89,4.65,5.65,2806384
22-Sep-10,4.42,4.87,4.25,4.84,1012183
21-Sep-10,4.80,4.80,4.27,4.46,1561553
20-Sep-10,4.19,5.00,4.12,4.90,1960385
17-Sep-10,3.59,4.16,3.36,4.09,1361772
16-Sep-10,3.00,3.64,3.00,3.57,706117
15-Sep-10,3.12,3.13,3.00,3.02,71329
14-Sep-10,3.13,3.23,3.02,3.13,72632
13-Sep-10,3.20,3.33,3.00,3.18,159591
10-Sep-10,3.14,3.18,2.84,3.12,198277
9-Sep-10,3.00,3.44,2.99,3.10,553485
8-Sep-10,2.78,3.07,2.72,2.93,216948
7-Sep-10,2.90,2.93,2.63,2.80,266775
6-Sep-10,2.95,2.95,2.95,2.95,0
3-Sep-10,2.95,2.95,2.95,2.95,0
2-Sep-10,2.00,2.49,2.00,2.40,234594
1-Sep-10,1.99,2.00,1.94,1.99,15602
31-Aug-10,1.90,1.99,1.90,1.99,19961
30-Aug-10,1.93,1.95,1.88,1.89,24076
27-Aug-10,1.85,1.95,1.85,1.95,56033
26-Aug-10,1.91,1.95,1.89,1.93,29735
25-Aug-10,1.90,1.93,1.89,1.92,38776
24-Aug-10,2.00,2.02,1.80,1.93,61440
23-Aug-10,2.07,2.08,1.98,1.98,41442
20-Aug-10,1.98,2.07,1.92,2.05,51236
19-Aug-10,2.02,2.19,1.89,1.89,168785
18-Aug-10,1.99,2.20,1.90,2.07,318802
17-Aug-10,1.93,2.01,1.91,1.98,76593
16-Aug-10,2.07,2.07,2.02,1.95,65284
13-Aug-10,2.07,2.14,2.02,2.05,216785
12-Aug-10,1.83,2.25,1.83,2.03,694285
11-Aug-10,1.90,1.94,1.80,1.80,30999
10-Aug-10,1.91,2.00,1.84,1.98,56923
9-Aug-10,1.94,1.94,1.84,1.90,15489
6-Aug-10,1.78,1.98,1.78,1.97,24107
5-Aug-10,1.87,1.88,1.77,1.81,115055
4-Aug-10,1.84,1.88,1.84,1.88,38007
3-Aug-10,1.79,1.91,1.79,1.84,17775
2-Aug-10,1.78,1.91,1.78,1.83,52093
30-Jul-10,1.85,1.91,1.78,1.78,101340
29-Jul-10,2.05,2.05,1.77,1.90,96913
28-Jul-10,1.96,2.05,1.96,2.05,52089
27-Jul-10,1.85,2.04,1.82,1.98,60699
26-Jul-10,1.90,1.95,1.82,1.85,42600
23-Jul-10,1.79,1.88,1.75,1.88,35811
22-Jul-10,1.70,1.79,1.70,1.77,7840
21-Jul-10,1.80,1.80,1.69,1.69,13173
20-Jul-10,1.71,1.83,1.71,1.75,57099
19-Jul-10,1.75,1.89,1.71,1.75,22015
16-Jul-10,1.88,1.88,1.75,1.75,25000
15-Jul-10,1.93,1.93,1.84,1.88,14214
14-Jul-10,1.86,1.96,1.84,1.95,90169
13-Jul-10,1.90,1.91,1.84,1.88,21185
12-Jul-10,1.88,1.93,1.88,1.91,21304
9-Jul-10,1.92,1.93,1.87,1.91,19767
8-Jul-10,1.88,1.95,1.83,1.92,12136
7-Jul-10,1.82,1.92,1.76,1.88,51051
6-Jul-10,1.78,1.93,1.78,1.82,58832
5-Jul-10,1.83,1.83,1.83,1.83,0
2-Jul-10,1.83,1.83,1.83,1.83,0
1-Jul-10,1.84,1.97,1.84,1.88,26737
30-Jun-10,1.87,2.00,1.86,1.91,15970
29-Jun-10,1.93,2.00,1.86,1.88,21079
28-Jun-10,1.95,2.06,1.95,2.00,16436
25-Jun-10,1.96,1.97,1.95,1.95,16347
24-Jun-10,2.03,2.06,1.91,1.95,18442
23-Jun-10,2.00,2.12,1.98,2.00,13441
22-Jun-10,2.01,2.05,2.00,2.00,38037
21-Jun-10,1.98,2.12,1.98,2.01,17379
18-Jun-10,2.01,2.06,1.97,1.99,73155
17-Jun-10,2.16,2.22,2.01,2.03,18921
16-Jun-10,2.06,2.11,2.01,2.09,7887
15-Jun-10,2.01,2.08,2.00,2.07,33625
14-Jun-10,2.05,2.08,2.02,2.04,29233
11-Jun-10,2.09,2.12,2.06,2.08,33401
10-Jun-10,2.09,2.09,2.00,2.09,238284
9-Jun-10,2.08,2.10,2.06,2.08,24250
8-Jun-10,2.15,2.15,2.06,2.06,14970
7-Jun-10,2.19,2.19,2.12,2.14,4324
4-Jun-10,2.18,2.20,2.16,2.19,19073
3-Jun-10,2.26,2.28,2.20,2.20,10765
2-Jun-10,2.23,2.28,2.23,2.28,10820
1-Jun-10,2.18,2.27,2.18,2.23,11151
31-May-10,2.20,2.20,2.20,2.20,0
28-May-10,2.20,2.20,2.20,2.20,0
27-May-10,2.14,2.28,2.05,2.10,55286
26-May-10,2.25,2.41,2.10,2.10,39093
25-May-10,2.25,2.25,2.15,2.20,82132
24-May-10,2.33,2.42,2.28,2.28,34130
21-May-10,2.29,2.41,2.27,2.33,23735
20-May-10,2.35,2.43,2.29,2.33,14376
19-May-10,2.49,2.60,2.29,2.39,71820
18-May-10,2.54,2.60,2.40,2.47,73179
17-May-10,2.67,2.71,2.56,2.56,24724
14-May-10,2.73,2.76,2.66,2.68,19701
13-May-10,2.85,2.87,2.76,2.82,24803
12-May-10,2.80,2.83,2.73,2.75,14852
11-May-10,2.71,2.88,2.63,2.80,26058
10-May-10,2.88,2.88,2.68,2.80,16918
7-May-10,2.65,2.83,2.65,2.74,34427
6-May-10,2.75,2.88,2.60,2.69,38209
5-May-10,2.70,2.90,2.62,2.75,43062
4-May-10,2.81,2.90,2.71,2.77,36774
3-May-10,2.95,2.99,2.88,2.89,37526
30-Apr-10,2.90,2.98,2.90,2.94,12371
29-Apr-10,2.90,3.00,2.78,2.89,68763
28-Apr-10,2.86,2.89,2.76,2.80,39713
27-Apr-10,3.05,3.09,2.86,2.86,32733
